Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Rice Supply (kg),Vegetables Supply (kg),Dry Food Supply (kg),Water Supply (liters)
Earthquake,1,4229,21547,23,189481.47385538602,101948.58239475219,77223.67006111727,1880521.5766003125
Storm,5,1346,28376,21,245659.92753811443,129626.56352376708,96020.37798487871,2375486.390611259
Earthquake,4,4950,10549,19,86701.56057595203,41455.00192030394,30428.075283241218,699608.219340073
Drought,4,4606,9131,3,10766.021249118741,5809.895685546389,4091.749987157703,93687.51336241254
Drought,2,1760,18451,25,176842.43714050498,99834.12025249189,72705.6383124482,1852394.8012300641
Drought,5,3799,7330,9,25357.55438100986,14063.206641629527,9463.108603782988,268311.5120927064
Storm,5,2733,31755,17,204787.22038224887,97438.14531695057,80469.44563909595,1962061.5112560778
Earthquake,5,1772,11340,27,128111.74122528487,62446.12496746789,41926.678122932106,1246327.2049843995
Storm,1,4018,5474,23,50676.225005804794,26883.361448542182,18074.328725395884,469789.6177834576
Earthquake,2,1502,30562,21,234316.30902895887,136867.44737119108,98176.03813515451,2242138.0331257703
Flood,1,3526,30700,4,52740.64999809052,22421.74202094633,20099.257398027254,420655.38638467196
Earthquake,4,3669,6417,15,35710.78807560095,18638.10860733087,13470.380973765075,340322.1144559743
Flood,3,1583,30583,25,318224.2973645487,144884.9277633067,114969.84105651219,2664848.310205645
Storm,4,588,11193,12,58567.48230873349,27403.96194618036,21128.956813355126,509023.1754596984
Earthquake,1,3803,26612,29,307000.94413916534,140323.81312175895,107427.87951715734,2790678.144525859
Flood,1,2150,42704,17,297502.83027756255,144314.99760523284,107751.10654858746,2733658.881514757
Flood,5,4806,43156,14,219898.65655449743,128892.19366043404,96861.41244438606,2188460.405137061
Earthquake,5,3838,17187,10,65908.5539235824,37342.22047035673,25249.499254123086,596806.4108086964
Flood,1,865,35734,27,386499.29375118716,207405.8651128681,144535.9087365178,3799559.30388073
Earthquake,3,1366,44299,12,222410.47854881163,114445.76245269392,82464.33750015181,1914746.5675136743
Flood,1,3382,33855,26,367682.17259738315,188822.73220314374,118886.60597636124,3476646.2780938363
Earthquake,1,1885,23477,18,156001.42984157748,82553.67752921784,62833.084841204596,1557598.3856721711
Earthquake,4,945,13495,17,83892.61786871175,42030.479917224,33412.72067749657,945049.0226272093
Earthquake,5,4210,49453,2,42632.75133596815,20171.650829750914,14842.290148407006,347320.8410082904
Flood,1,780,19639,6,43556.710435081004,25463.707320428795,16142.47031867455,449031.60003226635
Drought,2,4018,28769,12,132430.5850737623,68852.27913891037,52583.74687492787,1187449.8460084905
Flood,1,1160,39932,23,390645.59930120484,167794.01603835984,134662.71890433543,3720900.0092797778
Drought,3,3510,25050,9,86686.67026396385,47696.06817216572,33455.1083991821,904251.5247617861
Earthquake,3,3253,39858,9,141508.23042183765,69145.34171207184,54692.89496327202,1322779.3125588575
Flood,4,4010,43003,7,120689.70741361228,56178.084426031826,46469.27862268474,1035631.83173967
Flood,1,2616,44279,19,304581.09806851746,173167.42077620825,129650.43169730977,3082810.6803433993
Earthquake,3,4231,47598,17,297854.6464055592,173068.93889270246,122129.49612538237,3272012.0807772265
Drought,4,4938,17538,4,26193.969599931283,15354.940631749956,9951.38406775022,290880.44528281403
Earthquake,3,4662,24423,26,230580.27119944352,115085.91461288807,93115.85449778226,2240043.6315554213
Storm,3,920,2269,29,25638.15936751212,12830.677982544401,9818.837910018605,246273.71057409287
Storm,4,2426,25472,13,135285.67483043345,61612.280656150426,45010.69703777273,1371350.6730666524
Storm,4,3150,3336,9,12138.610690911115,6054.885811511918,4739.500200649459,121224.09238811105
Earthquake,3,1387,4957,17,33757.79982612357,17451.73008788243,11970.505531629105,340053.3251004134
Drought,3,3466,34495,24,364248.2451347679,154002.9493007323,132049.10181922064,2950094.842012099
Flood,1,3180,20319,18,149907.57935593202,74163.36859334123,56185.2181563601,1301636.7407549687
Flood,4,666,35528,4,61471.316515930885,26332.62814117672,21713.354300257353,548557.1920080069
Storm,5,3640,19695,22,160513.22832442148,91692.99955045461,60116.658314510874,1736503.9032478563
Drought,1,567,29789,12,156416.77879207482,77915.32878263584,53758.5660268592,1243062.8059138695
Drought,2,1620,28164,24,267196.07936906617,138046.55266330406,109881.53596045298,2487942.6055828524
Flood,3,3812,28853,28,344321.38374935434,170125.1109142733,122964.68590253203,3336744.8652613265
Drought,1,1873,16599,13,85264.34571855575,46152.254725711166,34912.762683255096,745280.910822989
Storm,3,2500,46192,15,284169.07352690113,150393.2792220457,93936.15478525485,2610404.9638623334
Flood,3,3916,19437,10,79809.00789232465,39997.22751056062,31020.27298064645,711178.3215745062
Earthquake,1,3244,12406,18,92482.0488484198,47595.59289285535,32120.30604477827,763118.6160311339
Flood,4,34,9864,1,3605.51259130542,1777.7555037807863,1608.9439771415266,39739.08164304198
Flood,1,3757,29318,2,21598.707244152683,11490.545545115634,9187.9377986502,212186.86642232953
Drought,3,3436,24422,14,145194.24673470666,74504.32470325842,46899.347442674734,1411916.6804330812
Earthquake,2,2432,12549,10,47608.207641984394,24988.873314706347,17487.77131205688,494939.2502121326
Drought,4,2352,3051,23,30478.81761660065,13768.230855323316,11380.890820579312,256122.48510765642
Flood,1,446,35696,21,282732.8510211177,147408.1312169976,118280.6664220868,2660160.079865203
Earthquake,2,1599,25335,18,172997.0483339433,95108.75276007922,72817.06626849076,1831004.4980367764
Storm,4,1238,5690,8,17375.564399834755,9097.983025866917,6533.404701301817,159675.42338239576
Storm,3,1274,23645,29,249423.9270349536,131001.7338658232,107113.49436992467,2368394.9288546257
Storm,1,2447,15375,25,140918.50044187388,83499.89334543493,61423.678422329554,1347179.3912607615
Flood,3,4533,5671,4,9812.553660182495,4938.7457960262045,3349.781115036864,83752.19620317318
Drought,4,3502,43508,26,411062.1412043753,229165.9559808205,184279.58512415012,4576410.862816369
Earthquake,2,4128,20280,21,183145.81769313826,79772.55783789764,61051.25325557085,1492542.324275654
Drought,1,1639,5932,21,49583.70815624796,25583.798802212168,20552.385284181528,434238.02375656826
Storm,4,1033,22156,3,26362.270188458235,12519.60067596701,9708.396846991236,245030.86785670946
Drought,1,2267,27464,13,140407.76106123536,74543.33765808365,52174.8172095055,1451303.2058782477
Storm,1,3181,10960,23,103004.97239819734,48351.983858652304,35063.83067377163,983059.3905715818
Storm,3,949,19704,28,230095.10367916958,103704.53830969392,89215.38898603227,1999442.3917269101
Earthquake,5,2106,4313,22,38074.80580006097,18095.111948960413,15187.871300993218,324284.5660350669
Flood,2,2015,8116,4,14151.306808808147,5884.323120541679,5099.640317975177,118704.41420240144
Drought,4,4646,31228,4,45384.59491982542,24470.99817848002,19719.766374237734,468529.12304291205
Drought,1,2161,11967,26,133346.24044102427,63166.249235139825,42717.16693663595,1150016.0859265658
Flood,2,3472,20547,21,167134.02843773644,90422.87409361014,61140.80245264441,1679514.8161464322
Drought,3,4589,21036,11,98662.8693585664,47261.67562157391,33259.548430814975,824526.6223145941
Earthquake,4,4721,24870,29,272811.6152970049,136935.71758620805,107839.97714961266,2864953.0473328885
Earthquake,4,1251,41575,26,474771.3042818832,204911.74723374864,163139.26632591916,4214920.989866681
Earthquake,4,287,16716,17,107425.68365536148,53376.97116738415,39563.58766778188,1101924.422718777
Storm,3,470,13479,15,75437.34278344455,41592.033691554934,32207.222459445005,833745.8776629904
Storm,4,1602,19090,9,71335.50838936397,35668.419586833756,27990.976654220507,649951.3062918524
Flood,3,2305,34564,18,239001.76630292946,130927.86447077466,90602.77195294162,2566343.9609977626
Storm,5,3655,19129,18,139019.58442398702,64461.31955762568,51220.630833197174,1319125.8056492752
Storm,5,2577,11791,13,55794.754836003325,32763.62605819423,25205.209033435895,614191.0561002156
Earthquake,4,3573,42665,9,144283.92132996398,83730.69102927155,63297.84559780547,1514926.0998442483
Storm,1,366,40054,23,337033.1843491913,188756.71015130085,151484.73698083713,3270788.1826870604
Earthquake,5,3652,28101,17,208671.96804238058,95953.46536924424,78498.09305645931,1901210.3903877838
Flood,2,17,10817,4,16432.63366278881,8896.965510471731,6706.454085821674,152721.48923393755
Drought,2,95,27791,9,106758.94969939215,52869.36242331828,36594.80240283178,956544.2631187325
Earthquake,3,2227,5067,2,4065.5043020726935,2151.7625321783953,1445.2566841811984,36407.16753057592
Flood,3,3957,18160,13,87226.88795032415,45222.39825510704,34688.43811645648,968538.2634157059
Earthquake,1,3753,41660,29,481472.72159686976,248173.39544268386,166387.03552014328,4145360.0454188017
Earthquake,1,3440,20158,26,203652.48452469346,110849.87105165092,74701.13498936513,2009170.1353056356
Earthquake,2,3018,15517,26,174875.61708852096,74262.43525826109,60588.410106371884,1441774.8483673711
Flood,5,1923,25892,17,163676.8471681125,91194.05656507879,62391.797321836784,1643156.4875384532
Drought,3,2881,46102,21,388550.1126455784,203649.686394605,138904.0591890927,3556720.527554098
Earthquake,2,4657,7912,21,69958.07846632677,35378.15273375754,26861.232698191532,634483.124962074
Flood,5,3985,39564,16,244679.71296498494,135594.50553401033,89390.75871149678,2190495.247051416
Drought,2,280,45126,5,89530.02724119167,41471.27274654166,36056.216198092865,776745.8127649571
Drought,2,3617,10875,10,46325.65434961676,21818.118415475576,16192.7455438025,374194.6433928083
Drought,5,590,37826,21,334613.2799268218,142982.64968085545,117163.63198774784,3020135.4303345922
Flood,1,1683,23018,7,61926.50583200924,30961.601649184147,22865.793453009603,549055.4845905117
Earthquake,4,4069,45999,6,115513.97095546428,56751.38319199829,40703.13066003494,1098763.9049260088
Storm,2,3623,35617,5,74263.1736083879,37873.546851706255,25011.756703438037,656653.2377843962
Earthquake,4,3632,27227,22,234479.56529956154,121970.46074943138,92742.49716625857,2076047.9453719682
Earthquake,2,3283,47235,27,486571.6289156794,255966.65419604979,182457.74546260564,4951175.699195627
Storm,1,2842,28583,16,175488.09212234512,95388.08696425494,72152.7110353557,1593378.5815566469
Flood,1,2620,12167,17,89899.25965192389,44077.443187850295,32249.567740344224,816444.263005655
Earthquake,1,1016,506,26,5503.397987771514,2821.536221209053,1884.230574881576,52853.60738213165
Flood,1,4687,37225,20,326300.9768972573,159517.67852321325,116168.12885861845,2945898.6255801525
Earthquake,5,2240,37155,1,14303.141302018246,7404.9921245537935,5580.687668188618,137460.07271364096
Drought,2,378,5046,11,23707.710853785276,10016.430663584073,8665.096799042703,229849.4929872681
Flood,4,3396,19456,19,153963.37574295737,74439.83930300896,55901.34309074076,1379476.6752487796
Flood,3,3417,489,8,1464.419836302662,829.344544826381,592.9857024063284,14500.575728986167
Earthquake,3,1491,3831,4,6282.875779805576,2952.352282822594,2444.060366064124,58018.91975930859
Drought,3,3707,24435,23,243059.83667406166,101434.18665416597,87234.75193831911,1936522.9400612025
Flood,4,3207,48792,11,201435.64266050165,105445.7770197055,87510.80194503143,2003234.0333722427
Drought,5,897,31902,1,12214.020965692522,6294.605159719027,4962.7809228763535,116702.91735829618
Storm,4,3775,16050,23,138770.6358477501,72624.11783733427,58151.53279697457,1285837.781484734
Flood,2,2771,29340,8,85766.73582061013,47119.57989604053,32950.21434485718,972046.4394451017
Flood,4,1351,2088,18,15648.637889838683,7400.633323560864,5464.552929850049,139342.40077209703
Earthquake,3,4883,22725,25,238165.33421020853,116595.16820708342,86064.2268392711,2231971.43330792
Storm,3,3376,28990,29,364903.2620290525,153625.76661138993,124350.4606743764,3306696.28536186
Earthquake,4,3564,27090,2,20663.82734954573,9785.14787482961,8882.835981511298,194854.36260816676
Storm,1,4586,29331,6,67760.34565424666,33585.84581259692,26913.54751199154,714878.783575828
Flood,3,1187,14396,10,58876.85467069402,27139.828714010604,23490.19978606309,491127.9432075647
Drought,4,619,18945,25,172418.02610378616,97140.23310245319,69418.46100092978,1949087.282095772
Flood,4,92,2020,10,7916.841073310175,4314.559698184857,2841.2556070840465,79094.16245949993
Drought,1,4947,16853,27,179594.64893715293,83591.47864713387,71645.32737052576,1865087.1322461732
Drought,4,3686,2526,9,8981.539530881548,4998.081072874264,3225.389854167083,86854.9084036271
Flood,2,4027,10551,13,50381.52243517804,25782.640686431834,22127.69772027806,543949.1505269929
Earthquake,1,4174,5139,2,3751.491621411598,2038.7196251832847,1613.461039615566,39732.65042065089
Earthquake,2,1639,26349,18,201288.70771494083,100983.8162009128,77299.10415654667,1811045.936684147
Storm,3,2003,969,1,368.48024782302497,212.70168579914696,139.28878118865262,3866.2635809227427
Flood,1,2566,29161,11,129292.06206160628,61188.396426475636,46849.716854716826,1310117.6141953599
Flood,2,4673,19742,21,162892.23509601186,89113.9518277995,63903.100623970924,1673902.955444631
Drought,4,3707,38606,5,81597.44638782452,37983.591069603026,28954.963956898908,772278.0856961842
Storm,1,4361,41194,29,474937.9536151754,216385.53537978246,168801.7056508571,4323645.166048975
Earthquake,2,130,1737,6,3845.2015828539975,2091.2469989605747,1652.884088078322,42938.600394239824
Storm,3,2678,47506,20,375958.7763260148,201647.56029323427,128493.21420710244,3901565.8501005
Earthquake,2,3616,32928,26,364954.05175393104,181132.46830584944,123482.6588935552,3508616.1757673793
Drought,5,1581,38989,17,265423.9512105656,144257.82436471528,106904.83237318064,2309335.902390825
Flood,3,2166,19078,7,50147.73098165603,28625.9417808969,20740.79201418287,539632.228053765
Earthquake,3,2952,46464,15,288465.912813065,130450.09396480197,108599.25319805878,2495329.9357281486
Earthquake,5,3328,36555,21,320495.32490746817,160667.15309259642,115492.1598218299,2708787.075010437
Flood,1,4743,31054,10,133697.71738108806,57406.367149935795,47835.326241287745,1194704.166069944
Storm,1,3621,26929,7,68731.694816833,36878.974757164884,26772.346140891805,673465.1054052747
Drought,3,146,15634,1,6164.729256707751,3152.3803532001825,2437.229508096075,61567.076515254
Flood,5,955,30149,19,231271.82090910245,116294.07338914048,77712.68470609385,2361181.5658354857
Drought,1,4350,5027,29,56414.59889645616,27073.897206261114,22707.482174524604,519371.30479691154
Flood,2,4410,15910,7,46980.20249214426,24285.083949567168,17629.278409087317,430921.91494337306
Earthquake,1,260,32230,15,208294.23000181484,91312.1111106482,75630.54973063868,1969499.6571843699
Storm,4,1106,33372,22,313838.76633369434,146399.06951369677,106463.17890507281,2940927.8671303866
Storm,5,4444,49910,2,39165.92346257992,19901.49042529674,13515.730864288586,370998.2591303728
Flood,2,2492,41253,8,141972.37647557698,64544.83902326258,49917.06361414315,1366076.8643280736
Drought,4,2882,11412,13,58754.655915927346,29750.530167845103,24430.751673184677,531378.8750228854
Flood,3,1779,44864,3,50823.13788609381,26113.650390025723,19674.119951455363,465488.61966335314
Storm,4,2900,27869,11,133151.7778647244,59830.83232046006,49031.36257955102,1239767.639058851
Flood,4,680,23775,2,20057.76761679645,9602.093248013756,6514.059934219852,189570.05248819274
Storm,2,1902,3539,13,17851.4631208889,9528.000775831342,7257.836881059612,157232.30824578225
Earthquake,4,3622,35486,7,102589.70699105517,48159.80874413536,36446.200840469595,876019.4382337747
Drought,3,1822,16035,26,179742.50582158638,84696.21296094294,64192.35801077245,1469588.1027054794
Storm,5,3350,39278,22,337780.31699080655,175882.34122199382,121461.16753108992,3335943.0501325345
Storm,4,659,43407,11,179069.93277364466,87415.94807123888,74431.35143136064,1764888.0479746226
Storm,2,393,47265,6,114190.38114572487,58269.37021346403,44650.39045912237,1014360.7916271165
Storm,5,4261,45048,26,447740.70754199644,241497.70780371662,187063.55744384794,4045838.6889506406
Flood,4,1824,37801,24,333015.4356114467,188664.44607902563,132500.442980621,3387380.354787231
Flood,5,2591,1193,29,14888.295213974832,6564.29180197246,5249.060821671522,118875.54614058326
Storm,1,2113,465,27,5036.263524585382,2629.6341448058383,1859.3024418615014,49105.69774479398
Storm,2,2388,21472,6,47357.79741092875,28337.333319738922,18654.767633461168,511833.46052610734
Drought,5,2515,37328,27,382299.6545316037,183040.7929182204,148493.21515679854,3532506.1197633403
Drought,3,3780,4694,22,41853.947809714446,19880.238295591,15968.357706696665,369920.2024572066
Storm,2,3514,17475,4,25381.741389317427,14922.586479414509,10735.646441476129,267926.0206062139
Drought,5,3206,30957,19,239082.29098350156,129180.96554561656,92757.57959570675,2200578.7104103505
Storm,5,2268,11194,24,104864.55361508543,52350.15710719076,41253.69016460979,1043926.2904665138
Flood,3,2837,30357,4,52078.48069024706,24096.982979418397,19816.801129059353,459973.0099375229
Drought,3,2971,19710,23,194519.9652413116,83595.19954507567,73780.09907994747,1761030.2617022432
Earthquake,1,580,32354,25,333158.1296145966,154499.6748580215,112985.18049246524,3144733.4373488156
Drought,1,1688,17099,12,74562.73019973983,41691.95402889862,30488.337500582114,846338.8424686481
Storm,4,4539,17619,1,7202.220714701116,3664.497983086887,2821.588575129747,70726.68097652939
Storm,3,3265,5313,13,25714.062931056513,14014.396358717138,9898.30434128013,283454.3264407058
Storm,3,2933,22539,11,90285.6134437185,44942.028000206396,36619.126768642745,860441.5591870864
Drought,4,4733,39450,16,262108.56572388974,128683.41105119277,94709.83745364627,2616622.8984896466
Drought,3,3337,29868,3,33695.067922147784,16903.712197035424,13954.600289048149,346140.3365122828
Flood,5,3815,31185,20,241871.21338468688,123128.20068479227,91608.33728705643,2440642.0191074386
Storm,5,4599,34414,2,25169.21514744965,12969.378703739416,9765.383631058467,258904.37931934098
Storm,2,4669,45938,5,92425.0741487539,50396.777489522676,32152.156580175862,802335.803061125
Drought,3,119,49443,8,149348.1362158861,71522.59540565185,63207.3578056031,1456889.7897701403
Drought,5,1046,16451,4,24797.615892619062,13974.199665030143,9173.581507785195,241229.72386487838
Earthquake,2,4136,24026,11,107055.03544127842,56068.85517145264,36766.00276019807,1016467.5321632089
Drought,3,3193,14239,23,120054.4351507012,64969.95599941161,47223.070991808585,1319499.3567963145
Storm,5,235,27513,13,138691.51602230483,72209.61586765325,58927.10743700902,1398235.670922093
Storm,5,2906,35971,9,140902.06990018694,58477.92311516316,48781.90036407295,1218212.5656665058
Flood,4,3119,17718,28,192940.94883282782,106360.62309411028,73028.56466914063,1813246.4577912013
Drought,3,2887,35403,13,198450.77571107447,97899.39473033462,69175.97041418514,1824310.7828999723
Drought,2,279,1730,22,14401.37641470859,7692.173036463322,5563.047422840907,148714.96331742563
Storm,4,62,10049,3,11380.395548028406,5646.940421988209,4816.626241700983,109215.96761400056
Flood,1,2063,25905,3,33814.697745568614,16767.742408408983,11278.34350529474,307650.6870924581
Flood,5,317,19900,9,68095.9123267418,35963.810573800285,26982.953487690327,689950.9306881222
Drought,5,2696,3085,18,20228.532650044905,10831.74907523759,7883.131656768157,200318.0987390241
Flood,5,3139,38315,18,300613.5219879434,150200.90462025758,105725.20184150817,2832035.72113482
Earthquake,3,4886,24586,5,48840.57494661536,25867.30254908112,17165.301799149765,464104.9891944961
Storm,1,3367,970,13,5315.82004434997,2470.4834606019904,2015.4133196752723,44585.50777325738
Flood,5,1657,13978,17,95251.54104576685,48619.50708600973,38571.017824763825,901186.977637192
Earthquake,5,2441,1948,20,16919.18571036725,8565.587100869441,6189.973451957009,154946.90789359342
Drought,1,3881,34674,12,173911.41215822852,76753.14032664846,63765.313323577015,1505928.4333347126
Storm,4,1354,30926,8,93022.26633962578,45082.93349268986,37619.36290830158,964816.3274810434
Flood,2,742,10040,21,89987.62431517891,45772.1426509926,30777.70092260918,768989.0419106132
Flood,3,4927,38699,9,133264.52708818874,68523.91771240192,50075.710150366474,1274041.378856686
Storm,3,880,37631,27,415474.89225271106,210461.90289136593,146844.26234401859,4113444.7851529047
Earthquake,5,3807,12039,26,124094.253970644,64832.88490729204,47356.08930483988,1148477.3774233314
Drought,3,1388,24523,24,232727.4983087272,112084.98528850291,85517.5479102017,2376732.3824979877
Earthquake,4,4577,48947,18,382629.8593783616,160766.5238822559,121382.42621551253,3109856.9458562774
Drought,5,546,40546,2,30421.783283449437,14612.864528169368,11093.620143311598,331780.46731989976
Drought,2,4257,42088,3,53102.07385234458,23008.35902357847,17071.693170651055,450424.41935691156
Flood,4,2408,12821,20,107849.52264819786,49182.09807193417,36915.688398693615,894275.5925057224
Storm,1,1611,4865,3,5653.644858120333,2878.1092584274606,2334.1560945464616,51042.47405549031
Storm,5,3562,46039,6,114518.95171446535,60217.903398331466,38427.653080887816,1094452.7898748606
Flood,5,993,25564,26,268348.5551063033,143631.578254243,96588.12875334533,2632987.394933133
Drought,3,539,13048,28,157040.03179939144,73407.0065501434,56990.265304054345,1358173.1952345606
Storm,1,1018,3883,23,33965.55427781867,18862.019099522156,12321.258636284521,309346.3221691292
Flood,3,1270,46025,29,504662.218731695,288070.91855725134,211560.58936218556,5253713.634126821
Earthquake,3,2021,39119,12,201783.0190272901,99321.43162658425,73909.00921228556,1798552.613748648
Flood,4,3971,29377,9,95853.64070517488,55861.48996151812,37597.24569869188,929537.5917773348
Earthquake,4,1621,21131,5,43225.3226171834,20086.528979348623,16094.3154901578,388643.5730229793
Flood,1,4127,41737,3,48590.072919915736,24353.838987478433,19930.014644203296,457637.6741839729
Storm,5,666,49417,17,326514.68027109205,181892.45604025223,127668.86732537298,2977933.2013768638
Drought,5,4760,49520,17,321633.8890683879,158408.92366090478,114071.58382121602,3300563.1591795245
Storm,1,416,7484,2,5427.587265745788,2978.988951967673,2203.775209070427,52815.22624547624
Drought,2,1421,39796,25,415052.6427787266,181806.0542103172,146777.60682414984,3476760.9980658493
Earthquake,3,1013,27142,17,190037.44946837306,87326.84627902383,71722.46457755231,1900203.75206535
Drought,5,4250,47566,18,315479.54566098104,166268.20551315945,126197.98053489129,3354628.4512994485
Storm,5,4568,46930,4,75933.91148178391,34008.52046080266,30451.463155037538,661676.7265132099
Storm,4,2294,5413,3,6146.631212329892,3249.376668651792,2548.623209856567,67096.22440855992
Flood,2,3857,36443,12,189494.98934820684,89831.95459541693,67300.57947944305,1623199.1131748927
Storm,2,2790,16906,28,187222.86954380898,102126.20328794906,73249.74514801256,1615415.9876745553
Drought,2,2551,39631,4,66809.98010797208,31707.826640818228,23463.631356223206,569953.0412361457
Storm,1,1774,9517,20,71799.36165379328,40994.32637350993,28890.216861988352,767767.8945740545
Earthquake,1,1485,43956,9,149091.63481723444,84773.05793197607,63143.46395405249,1479564.5620316663
Flood,4,2207,14291,23,125322.18561788986,72185.35183723384,44627.663601799526,1269863.1048544215
Earthquake,1,850,1914,10,7843.960011040846,3615.6808061766346,2760.303666653614,73118.03688192797
Storm,1,2981,34885,13,183775.46259279596,89653.44474652012,72069.35122409496,1793496.1951991012
Storm,2,4711,45530,9,149234.6704956725,76374.97983439437,59444.80045704477,1419706.8575411083
Earthquake,3,1630,6648,22,64056.507825254164,27118.550800537774,20760.199165933725,594367.7122241278
Drought,1,4915,25653,22,212820.0772292384,111067.32077092107,76353.41841794968,2289052.695909401
Earthquake,2,4596,25106,15,136785.26090825975,76648.90251600182,55332.569208940324,1560463.5227332902
Storm,2,4932,4786,8,16553.41337131303,7465.734192271459,5800.48102594726,131893.88365041112
Drought,5,1799,28302,17,181744.78802364666,92715.57220923732,68697.10736409531,1670885.3365235871
Storm,4,2853,29401,29,349677.2737784095,163272.54363881075,122260.50074258925,3118765.7183285626
Earthquake,5,3205,34272,5,71663.15271130978,34165.01094258246,26700.31560725807,655441.9090553798
Flood,2,3102,22792,27,266377.7112697671,124243.9333652895,96625.84879562755,2257748.4998991666
Storm,2,959,20423,13,102748.80257277505,56316.06772548435,37805.888652809364,1100588.0725223613
Drought,4,4029,30162,4,44611.88081385868,22252.978982052504,18633.257286194188,490912.41207275836
Earthquake,1,157,17795,4,26226.080499409378,12941.362909295154,11010.946364130234,271310.4223353051
Storm,2,1869,44431,2,32203.740449394467,17575.226784901733,13341.613672940673,310597.66660983925
Storm,3,2498,10168,29,121201.87212425447,64696.9756563479,46601.6189616503,1101438.8180656822
Storm,2,2373,24635,17,167541.8185748615,86185.68623235199,56832.98372994457,1562827.5653152592
Drought,1,896,26727,7,67594.5132910275,39800.41901166314,25482.301170222665,763353.8822784562
Drought,1,4664,28735,21,254184.36331757414,114725.69800132854,97133.04410068557,2102579.8539361
Storm,3,3377,41877,11,201351.4998071349,85405.43056473833,64284.79161665042,1879398.0714815937
Storm,2,4761,14309,28,144277.87089210315,78176.83318467528,55811.56925356812,1370397.4365813688
Storm,4,307,45963,1,18846.044048129326,9646.858335682064,6506.587394274338,158658.62617067865
Drought,5,194,21047,18,137748.30925902046,79317.49071531567,55023.4261123078,1427774.3380347122
Storm,4,4693,45356,10,166242.39323563158,86332.27208300371,61609.579870404195,1761831.6508120107
Flood,3,3489,13310,2,10996.880601646364,5819.454340121651,3633.962835398724,108623.46718022355
Drought,4,2182,46026,24,429721.1466469851,222988.0753979207,176954.81150197276,3869505.2286480046
Storm,2,4437,29945,24,307686.70443180454,157863.91400549034,112692.73593293244,2875130.1141250245
Flood,4,4545,2876,1,1228.0590943042191,588.3704438449381,438.4055411586441,10349.29208424739
Flood,3,1433,47902,5,98904.8801184523,49183.01061039368,36598.04807314825,818835.8985819039
Storm,4,921,46516,13,258198.85108165705,111928.29358198885,83926.29500334426,2432298.7885755673
Flood,1,4661,33477,5,61643.66554527376,32821.033027953534,26257.37964028805,669008.4537332092
Earthquake,3,874,34136,3,39788.34409523163,19475.876968334513,13864.704122586172,390738.4051072572
Drought,5,2348,48428,29,515144.6566766173,283627.90195840184,205605.03534743842,5429599.210090874
Drought,3,1280,25316,20,187865.6001110394,92778.85877002671,80956.35845027895,2099168.9688254986
Earthquake,5,2585,39622,20,322219.699059096,168392.67018992978,114751.83435976066,2882855.6524211257
Flood,2,4006,7593,8,23399.7523374677,11257.588145270216,9352.868346082227,212825.2708128053
Earthquake,4,1654,36012,7,108352.95155407675,50416.386501218076,39553.86410080117,976879.385645225
Flood,5,3522,46265,28,512264.37790911034,265152.05530127086,207913.32947761388,4605293.244135975
Drought,2,867,23254,26,232074.85844879283,115548.1718822137,95615.31836197602,2357948.922288352
Drought,3,4885,12354,23,107604.36609047238,58394.296808491614,45349.63860507289,976873.1699082094
Earthquake,3,1481,33809,20,260073.48245928972,138309.58708973447,109499.27660162358,2717981.7737519536
Earthquake,4,3967,18450,24,162051.9917825577,95781.80999244012,73016.37817814284,1743182.6589045406
Storm,4,3644,34520,5,62425.05829895153,33248.09783622652,23595.531877692654,688114.9793883486
Storm,1,2173,16089,4,25206.634890325324,13530.85876003129,9564.943313972504,239313.94834240136
Storm,1,2486,41850,18,306414.9061774681,164801.6048477469,110234.2883910207,2601492.796589462
Earthquake,1,2839,36486,28,449323.5806246347,202349.46650313807,148788.88594152118,3789995.12693087
Earthquake,1,956,14793,10,60520.87847732186,30274.92881114483,22000.63653764498,548374.9738225807
Drought,1,3600,32121,17,238280.3125931885,101597.88701151677,81538.5885653722,2108909.100746563
Flood,2,4847,22590,20,173395.83518761344,84261.3865095345,70150.3712302946,1552082.6946923549
Drought,3,511,9021,4,14584.766377359769,7354.250787017876,5815.2033270973725,138680.7380083771
Flood,3,2349,47125,20,345277.7334611919,190982.56612380943,152911.7243717975,3493384.4096957794
Drought,5,2585,11718,15,75509.91783107414,34250.86921178778,26968.742679186118,668438.0542104187
Storm,2,3725,47745,22,418209.74310256774,215543.94078096893,167914.91178172771,4201125.618523374
Flood,5,266,43490,26,496417.4331072814,218263.79332343183,166019.86180616968,4368301.890531771
Drought,3,1134,12277,5,22150.132172910042,13247.043310245352,8561.625288009323,245628.7279716237
Storm,3,3504,33772,22,272593.8240968072,157940.17387232886,106551.36707368976,2605317.9757233085
Earthquake,2,3966,16655,22,135633.14667027508,68728.01682800341,54514.45899671181,1456795.3849374184
Storm,1,4685,41950,18,287812.2135012317,151127.133029585,103481.37373706196,2696958.931260842
Earthquake,2,3106,27932,21,230599.804373232,128059.12875794378,88709.286554605,2266838.444785506
Drought,3,1664,12820,9,41730.83322352568,24551.062009309284,18431.44883077986,461845.4681205499
Flood,3,1363,12170,26,115938.96432110484,62547.800834937385,44267.47529077285,1122068.1954328308
